Dept./Centre/School,Minimum CTC,Average CTC,Median CTC,Maximum CTC
DoD,900000,2210448,1600000,5132000
CL,600000,1192007,1008401,5165463
BSBE,720000,999994,800000,1604952
CICPS,1000000,1784799,1450000,3730121
CE,610000,879537,720000,1807179
CSE,800000,2561928,2500000,5770128
EEE,800000,2427981,2000000,4000000
DS,800000,1635923,1592000,2500000
ME,625000,1189071,1000000,2600000
SART,420000,637778,700000,1200000
